experiment_id,type,model,dataset,num_samples_evaluated,num_hallucinations,hallucination_rate,truthX_autoencoder,truthX_steering_vectors,num_pairs,contrastive_weight,editing_weight,reconstruction_weight,temperature,edit_strength,top_k_modules,ae_training_time_seconds,inference_time_seconds,highlight
Gemma_BBF_TO_HE,Cross-Dataset,google/gemma-2-9b-it,halu_eval,7500,1202,0.16026666666666667,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,3064.5421805381775,
Gemma_BBC_TO_HE,Cross-Dataset,google/gemma-2-9b-it,halu_eval,7500,1185,0.158,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,3063.142971277237,
Gemma_HE_TO_BBF,Cross-Dataset,google/gemma-2-9b-it,belief_bank_facts,14416,488,0.033851276359600446,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,3777.2246894836426,
Gemma_HE_TO_BBC,Cross-Dataset,google/gemma-2-9b-it,belief_bank_constraints,12284,5239,0.426489742754803,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,3227.2859423160553,
LLama_BBF_TO_HE,Cross-Dataset,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1881,0.2508,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,34875.79171085358,
LLama_BBC_TO_HE,Cross-Dataset,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1193,0.15906666666666666,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,37114.83741593361,
LLama_HE_TO_BBF,Cross-Dataset,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,2104,0.14594894561598223,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,4443.9980618953705,
LLama_HE_TO_BBC,Cross-Dataset,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,12386,6857,0.5536089132891975,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,3883.9078965187073,
Llama_to_Gemma_BBF,cross_model1,google/gemma-2-9b-it,belief_bank_facts,14416,461,0.031978357380688126,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,8203.962615966797,
Llama_to_Gemma_BBC,cross_model1,google/gemma-2-9b-it,belief_bank_constraints,12306,4715,0.3831464326344872,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,5869.234382152557,
Llama_to_Gemma_HE,cross_model1,google/gemma-2-9b-it,halu_eval,7500,1178,0.15706666666666666,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,5677.323525667191,
Gemma_to_Llama_BBF,cross_model1,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,5801,0.4024001109877913,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,7643.5711262226105,
Gemma_to_Llama_BBC,cross_model1,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,11530,6640,0.5758889852558543,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,5795.5692257881165,
Gemma_to_Llama_HE,cross_model1,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1312,0.17493333333333333,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,50575.10494327545,
Gemma_to_Llama_BBF_2,cross_model2,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,2084,0.14456159822419534,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,6477.565398931503,pink
Gemma_to_Llama_BBC_2,cross_model2,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,11576,6179,0.5337767795438839,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,5127.443078517914,pink
Gemma_to_Llama_HE_2,cross_model2,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1312,0.17493333333333333,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,52610.589755535126,pink
Gemma_to_Llama_BBF_MLP,CrossModel,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,14416,1.0,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,4618.810490131378
Gemma_to_Llama_BBC_MLP,CrossModel,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,12060,12060,1.0,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,3903.6718854904175
Gemma_to_Llama_HE_MLP,CrossModel,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1231,0.16413333333333333,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,31719.444286108017
Gemma_to_Llama_BBF_MLP2,CrossModel,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,3733,0.2589483906770255,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,4655.624113559723
Gemma_to_Llama_BBC_MLP2,CrossModel,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,11628,6976,0.5999312005503956,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,3781.5423595905304
Gemma_to_Llama_HE_MLP2,CrossModel,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1247,0.16626666666666667,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,30455.197062969208
Llama_to_Gemma_BBF_PROCRUSTES,CrossModel,google/gemma-2-9b-it,belief_bank_facts,14416,376,0.026082130965593784,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,7145.249834537506
Llama_to_Gemma_BBC_PROCRUSTES,CrossModel,google/gemma-2-9b-it,belief_bank_constraints,11630,4797,0.4124677558039553,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,5820.666248321533
Llama_to_Gemma_HE_PROCRUSTES,CrossModel,google/gemma-2-9b-it,halu_eval,7500,1148,0.15306666666666666,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,5338.387791156769
Llama_to_Gemma_BBF_2,CrossModel,google/gemma-2-9b-it,belief_bank_facts,14416,657,0.04557436182019978,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,7033.726959705353
Llama_to_Gemma_BBC_2,CrossModel,google/gemma-2-9b-it,belief_bank_constraints,12292,4969,0.40424666449723395,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,5996.4872806072235
Llama_to_Gemma_HE_2,CrossModel,google/gemma-2-9b-it,halu_eval,7500,1178,0.15706666666666666,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,5264.748017072678
Llama_to_Gemma_BBF_MLP,CrossModel,google/gemma-2-9b-it,belief_bank_facts,14416,636,0.04411764705882353,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,5609.548885583878
Llama_to_Gemma_BBC_MLP,CrossModel,google/gemma-2-9b-it,belief_bank_constraints,11894,4757,0.39994955439717506,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,4646.506639480591
Gemma_to_Llama_BBF_PROCRUSTES,CrossModel,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,1920,0.13318534961154274,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,6952.815578460693
Gemma_to_Llama_BBC_PROCRUSTES,CrossModel,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,12144,6225,0.512598814229249,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,6001.660202741623
Gemma_to_Llama_HE_PROCRUSTES,CrossModel,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1284,0.1712,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,64866.56636929512
Llama_to_Gemma_BBF_MLP2,CrossModel,google/gemma-2-9b-it,belief_bank_facts,14416,824,0.05715871254162042,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,5327.779494762421
Llama_to_Gemma_BBC_MLP2,CrossModel,google/gemma-2-9b-it,belief_bank_constraints,12482,4702,0.3767024515302035,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,4565.705298900604
Llama_to_Gemma_HE_MLP,CrossModel,google/gemma-2-9b-it,halu_eval,7500,1196,0.15946666666666667,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,3794.1626489162445
Llama_to_Gemma_HE_MLP2,CrossModel,google/gemma-2-9b-it,halu_eval,7500,1186,0.15813333333333332,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,3856.8699955940247
