source_file,source_experiment,source_seed,encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_42\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_42,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,42,cuda:0,same_as_encoder_domain,ok,112.425,15354,1792,0.5057965351048587,0.506967277281979,0.4217793408883678,0.4604664391353811,0.522451669835086,"[[4528,3149],[4439,3238]]",0.4955357142857143,0.49585921325051757,0.5345982142857143,0.514500537056928,0.5657591527822066,"[[409,487],[417,479]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_420\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_420,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,420,cuda:0,same_as_encoder_domain,ok,160.472,15354,1792,0.5225999739481568,0.5230748769783216,0.5123094958968347,0.51763622005791,0.5241284793968081,"[[4091,3586],[3744,3933]]",0.7254464285714286,0.9297872340425531,0.4877232142857143,0.6398243045387995,0.7054113271285076,"[[863,33],[459,437]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_420\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_420,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,420,cuda:0,same_as_encoder_domain,ok,174.565,15354,1792,0.47674872997264556,0.47129763627592863,0.381789761625635,0.4218480138169257,0.46940322665838247,"[[4389,3288],[4746,2931]]",0.5111607142857143,0.5101419878296146,0.5613839285714286,0.5345377258235919,0.5518611985809949,"[[413,483],[393,503]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_420\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_420,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,420,cuda:0,same_as_encoder_domain,ok,84.351,15354,1792,0.5272893057183796,0.5226364127498649,0.6300638270157614,0.5713442003307347,0.5510881836566374,"[[3259,4418],[2840,4837]]",0.6785714285714286,0.8319502074688797,0.44754464285714285,0.5820029027576198,0.6801838777503189,"[[815,81],[495,401]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_511\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_511,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,511,cuda:0,same_as_encoder_domain,ok,138.582,15354,1792,0.5341279145499545,0.5326927876216621,0.5560765924189136,0.5441335797590976,0.5368896067483266,"[[3932,3745],[3408,4269]]",0.7248883928571429,0.7976366322008862,0.6026785714285714,0.6865861411315957,0.7988617566167091,"[[759,137],[356,540]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_511\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_511,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,511,cuda:0,same_as_encoder_domain,ok,111.027,15354,1792,0.5037123876514263,0.5047476261869065,0.39468542399374756,0.44298245614035087,0.49455668506262074,"[[4704,2973],[4647,3030]]",0.6651785714285714,0.8794871794871795,0.3828125,0.5334370139968896,0.6718463508450254,"[[849,47],[553,343]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_511\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_511,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,511,cuda:0,same_as_encoder_domain,ok,81.136,15354,1792,0.5422039859320047,0.5604252144722118,0.39142894359775954,0.46092491755502724,0.5558227167491208,"[[5320,2357],[4672,3005]]",0.6841517857142857,0.7956989247311828,0.4955357142857143,0.6107290233837689,0.6638152453364158,"[[782,114],[452,444]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_64\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_64,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,64,cuda:0,same_as_encoder_domain,ok,158.501,15354,1792,0.5524944639833268,0.5518261316872428,0.5589422951673831,0.5553614184947907,0.5594522437934674,"[[4192,3485],[3386,4291]]",0.6194196428571429,0.6442048517520216,0.5334821428571429,0.5836385836385837,0.6497242207429847,"[[632,264],[418,478]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_64\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_64,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,64,cuda:0,same_as_encoder_domain,ok,197.508,15354,1792,0.47987495115279405,0.47979599843075715,0.47792106291520126,0.4788566953797964,0.47350865711367934,"[[3699,3978],[4008,3669]]",0.5770089285714286,0.5903141361256544,0.5033482142857143,0.5433734939759036,0.5994530502630739,"[[583,313],[445,451]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_64\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_64,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,64,cuda:0,same_as_encoder_domain,ok,188.839,15354,1792,0.4981763709782467,0.4983173076923077,0.5400547088706525,0.5183471900981435,0.5036808366533994,"[[3503,4174],[3531,4146]]",0.6964285714285714,0.8826086956521739,0.453125,0.5988200589970502,0.7349417550223214,"[[842,54],[490,406]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_67\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_67,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,67,cuda:0,same_as_encoder_domain,ok,161.118,15354,1792,0.5126351439364335,0.5137940841865757,0.4706265468281881,0.4912638520633626,0.5256828941619353,"[[4258,3419],[4064,3613]]",0.71875,0.9434389140271493,0.4654017857142857,0.6233183856502242,0.7900104133450254,"[[871,25],[479,417]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_67\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_67,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,67,cuda:0,same_as_encoder_domain,ok,158.839,15354,1792,0.49172853979419046,0.4905576208178439,0.4297251530545786,0.4581308151645605,0.48457583776553165,"[[4251,3426],[4378,3299]]",0.5848214285714286,0.5954773869346733,0.5290178571428571,0.5602836879432624,0.6368196448501275,"[[574,322],[422,474]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_67\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_67,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,67,cuda:0,same_as_encoder_domain,ok,83.005,15354,1792,0.5234466588511137,0.5120870265914585,0.9933567799921844,0.6757942310248571,0.5453007261446502,"[[411,7266],[51,7626]]",0.6629464285714286,0.8686868686868687,0.38392857142857145,0.5325077399380805,0.7674710020727041,"[[844,52],[552,344]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_104\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_104,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,attn,Falcon3-7B-Base,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,152.282,6506,4958,0.5093759606517061,0.5178466939730837,0.2720565631724562,0.3567110036275695,0.5134123397551449,"[[2429,824],[2368,885]]",0.4979830576845502,0.49897161661867545,0.9786204114562324,0.6609453752894701,0.5437286762658693,"[[43,2436],[53,2426]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_104\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_104,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,mlp,Falcon3-7B-Base,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,139.606,6506,4958,0.5084537350138334,0.5095919079176839,0.4491238856440209,0.4774509803921569,0.5080387854517985,"[[1847,1406],[1792,1461]]",0.5447761194029851,0.5334538878842676,0.7139975796692215,0.6106606865620149,0.5442667173926168,"[[931,1548],[709,1770]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_104\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_104,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,hidden,Falcon3-7B-Base,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,133.07,6506,4958,0.5067629880110667,0.5193661971830986,0.1813710421149708,0.2688539530644794,0.5012528339372986,"[[2707,546],[2663,590]]",0.5463896732553449,0.5432656132430399,0.582492940701896,0.5621958341444423,0.5767595848694992,"[[1265,1214],[1035,1444]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_123\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_123,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,attn,Falcon3-7B-Base,gemma-2-9b-it,123,cuda:0,same_as_encoder_domain,ok,184.454,6506,4958,0.5083000307408546,0.5141509433962265,0.30156778358438363,0.38015888393722147,0.5087654433104338,"[[2326,927],[2272,981]]",0.5026220250100847,0.5014314027747192,0.918515530455829,0.6487179487179487,0.5448154981880063,"[[215,2264],[202,2277]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_123\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_123,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,mlp,Falcon3-7B-Base,gemma-2-9b-it,123,cuda:0,same_as_encoder_domain,ok,138.699,6506,4958,0.5081463264678758,0.5111018014243821,0.3750384260682447,0.4326241134751773,0.4983856090086486,"[[2086,1167],[2033,1220]]",0.518757563533683,0.510801393728223,0.8870512303348125,0.6482900943396226,0.5891447822865763,"[[373,2106],[280,2199]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_123\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_123,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,hidden,Falcon3-7B-Base,gemma-2-9b-it,123,cuda:0,same_as_encoder_domain,ok,85.076,6506,4958,0.508761143559791,0.5138686131386861,0.32462342453120197,0.39788997739261495,0.51177257551,"[[2254,999],[2197,1056]]",0.5022186365469947,0.5013576894593927,0.8192819685356999,0.622052067381317,0.5564808123615539,"[[459,2020],[448,2031]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_2\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_2,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,attn,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,147.571,6506,4958,0.5010759299108515,0.5016362786348761,0.3298493698124808,0.39799703264094954,0.5113310241939881,"[[2187,1066],[2180,1073]]",0.509076240419524,0.5052313415484772,0.8765631302944735,0.6410029498525074,0.5718838566670805,"[[351,2128],[306,2173]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_2\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_2,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,mlp,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,175.045,6506,4958,0.5006148170919151,0.5006821282401092,0.45127574546572397,0.47469684721099437,0.4978426591774775,"[[1789,1464],[1785,1468]]",0.5659540137152077,0.6526610644257703,0.281968535699879,0.39380281690140845,0.6111345792759217,"[[2107,372],[1780,699]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_2\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_2,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,hidden,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,104.086,6506,4958,0.5144482016600062,0.5291563275434243,0.2622194897018137,0.35066803699897225,0.5152729977833131,"[[2494,759],[2400,853]]",0.5457845905607099,0.7516629711751663,0.13674868898749495,0.23139931740614333,0.5941811173518712,"[[2367,112],[2140,339]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_24\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_24,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,attn,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,259.172,6506,4958,0.5021518598217031,0.5035175879396985,0.3080233630494928,0.3822239176044249,0.5087958250649758,"[[2265,988],[2251,1002]]",0.5050423557886244,0.5026410310585252,0.9596611536910045,0.6597337770382695,0.5474483442278594,"[[125,2354],[100,2379]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_24\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_24,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,mlp,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,236.667,6506,4958,0.5035351982785121,0.5063291139240507,0.2828158622809714,0.3629191321499014,0.5091564843688944,"[[2356,897],[2333,920]]",0.5211778943122227,0.5142314990512334,0.7652279144816458,0.6151102464332037,0.589783385765155,"[[687,1792],[582,1897]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_24\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_24,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,hidden,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,135.509,6506,4958,0.5032277897325546,0.511400651465798,0.14478942514601906,0.22568279827503593,0.5167187062494465,"[[2803,450],[2782,471]]",0.5040338846308996,0.5023441162681669,0.864461476401775,0.6354336545589325,0.5570663683859303,"[[356,2123],[336,2143]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__halu_eval\seed_4\results.csv,FalconToGemma_BBC__activation__halu_eval,seed_4,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,halu_eval,attn,Falcon3-7B-Base,gemma-2-9b-it,4,cuda:0,same_as_encoder_domain,ok,144.39,6506,4958,0.5052259452812788,0.5078341013824885,0.33876421764525055,0.40641711229946526,0.5092421486317013,"[[2185,1068],[2151,1102]]",0.5018152480839048,0.5009326424870466,0.9749899152884227,0.661829134720701,0.583224865392085,"[[71,2408],[62,2417]]"
